country,servings,continent
Grenada,438,North_America
Belarus,373,Europe
Haiti,326,North_America
Russian Federation,326,Asia
Saint Lucia,315,North_America
Guyana,302,South_America
Slovakia,293,Europe
Dominica,286,North_America
Thailand,258,Asia
Cook Islands,254,Oceania
