country,total_litres_of_pure_alcohol
Belarus,14.4
Lithuania,12.9
Andorra,12.4
Grenada,11.9
Czech Republic,11.8
France,11.8
Russian Federation,11.5
Ireland,11.4
Luxembourg,11.4
Slovakia,11.4
